@relation pola_csv

@attribute H numeric
@attribute G numeric
@attribute Epoch {K161D,K15CO,K1642}
@attribute M numeric
@attribute Peri. numeric
@attribute Node numeric
@attribute Incl. numeric
@attribute e numeric
@attribute n numeric
@attribute a numeric
@attribute #Obs numeric
@attribute #Opp numeric
@attribute rms numeric
@attribute Per {M-v,M-h,M-c,M-N}
@attribute ts {3Eh,8.0,38h,08h}
@attribute Hazard {T,F}

@data
-1.535597,0.15,K161D,0.583991,-0.852798,-1.336198,-0.613738,0.623982,0.462905,-0.206547,4.19683,2.439377,0.57,M-v,3Eh,T
-1.667436,0.15,K161D,0.099744,0.591054,1.611828,-0.871331,0.776569,0.297584,0.73046,0.971823,3.163228,0.6,M-v,3Eh,T
-1.173039,0.15,K161D,-0.613981,1.080662,-1.141393,-0.023433,0.311213,0.719001,-0.902474,0.83844,2.801303,0.54,M-h,3Eh,T
-0.184245,0.15,K161D,-1.064873,-0.827693,-1.643639,-0.787632,0.356247,0.666868,-0.797511,0.395418,0.62975,0.63,M-v,3Eh,T
-0.349044,0.15,K161D,0.486824,-0.618543,1.225764,-0.749938,0.485761,0.496139,-0.330116,0.60502,1.353601,0.44,M-h,3Eh,T
-2.161833,0.15,K161D,-0.360283,-0.75954,-1.265923,-0.202222,0.639453,0.369381,0.237637,1.881685,4.249005,0.47,M-h,3Eh,T
-0.97528,0.15,K161D,-0.901276,-1.263085,-1.042362,0.045446,0.329003,0.592959,-0.622811,2.272306,1.353601,0.64,M-v,3Eh,T
-1.173039,0.15,K161D,0.526793,0.155544,-1.474263,-0.34396,0.483595,0.390749,0.120627,2.324706,2.077452,0.53,M-v,3Eh,T
-1.667436,0.15,K161D,-0.363374,1.228379,-0.409882,0.349315,0.632804,1.187776,-1.482581,10.937429,3.887079,0.47,M-v,3Eh,T
-0.645682,0.15,K161D,-0.945327,0.518263,-0.466279,-0.676315,0.311387,0.974909,-1.277186,3.863373,5.696706,0.51,M-h,3Eh,T
-2.029993,0.15,K161D,1.229661,-0.585273,1.342601,-0.521227,0.579004,0.422194,-0.033403,3.644244,3.525154,0.39,M-h,3Eh,T
-1.568556,0.15,K161D,-0.021191,-0.299911,-0.074881,-0.263853,0.506302,0.349562,0.356718,2.667691,2.801303,0.46,M-h,3Eh,T
-2.029993,0.15,K161D,0.025693,-1.285477,-0.102578,0.539699,0.642738,1.238801,-1.52294,1.562518,3.887079,0.47,M-h,3Eh,T
-1.502637,0.15,K161D,0.53833,-0.39857,0.961395,-1.012185,0.629507,0.766966,-0.988424,1.30528,3.525154,0.48,M-h,3Eh,T
