Des'n	H	G	Epoch	M	Peri.	Node	Incl.	e	n	a	#Obs	#Opp	rms	Per	ts
d	c	c	d	c	c	c	c	c	c	c	c	c	c	d	d
K06J42	F 19.1	0.15	K161D	339.30434	17.72633	40.94566	5.958	0.5816325	1.78977626	0.6718467	153	4	0.47	M-v	3Eh
K06K01	Q 22.0	0.15	K161D	95.97761	18.20642	88.69273	9.60636	0.1754206	0.71001632	1.2443919	31	1	0.4	M-v	3Eh
K06K21	K 20.4	0.15	K161D	66.03888	284.79627	189.89798	12.44188	0.8722446	0.22001097	2.7175226	75	2	0.43	M-v	3Eh
K06K40	D 18.6	0.15	K161D	112.716	217.89017	86.74725	21.11085	0.5128702	0.34414734	2.0166929	132	2	0.38	M-v	3Eh
K06K86	Y 19.8	0.15	K161D	289.31377	321.15914	222.73203	7.40881	0.6456574	0.28265728	2.299478	182	3	0.39	M-v	3Eh
K06K89	N 21.4	0.15	K161D	343.49399	108.71191	217.36589	5.8179	0.5314472	0.41176804	1.7893733	41	1	0.41	M-v	3Eh
K06L00	K 19.7	0.15	K161D	328.42259	194.31331	157.77449	10.17587	0.6386895	0.20425	2.8555823	50	2	0.52	M-v	3Eh
K06L01	D 20.9	0.15	K161D	234.74992	275.90783	65.6763	5.95618	0.7021445	0.27701218	2.3306129	60	1	0.55	M-v	3Eh
K06O01	N 21.3	0.15	K161D	108.90492	50.97406	288.37977	3.52303	0.6121163	0.24184425	2.5514019	88	2	0.41	M-v	3Eh
K06O05	C 19.2	0.15	K161D	177.35577	245.70648	149.20426	4.74674	0.6521571	0.2651109	2.3998513	174	3	0.33	M-v	3Eh
K06P01	A 19.7	0.15	K161D	56.87764	85.64684	322.45002	2.43215	0.5499664	0.33968564	2.0343137	297	3	0.44	M-v	3Eh
K06P17	Y 19.2	0.15	K161D	175.64053	132.82279	310.30239	2.84033	0.6397242	0.37745489	1.8962373	105	4	0.42	M-v	3Eh
K06Q23	Q 20.1	0.15	K161D	205.53135	124.77212	4.9001	3.43846	0.2846183	1.36817912	0.8036015	46	3	0.43	M-v	3Eh
K06Q65	J 22.0	0.15	K161D	46.82447	266.63992	152.95332	5.09144	0.6845734	0.22833879	2.6510398	40	1	0.61	M-v	3Eh
K06R00	Z 20.3	0.15	K161D	134.79907	221.07373	197.4595	9.02517	0.6427406	0.25493345	2.4633049	897	2	0.43	M-v	3Eh
K06R01	K 21.8	0.15	K161D	175.71808	131.84325	153.78553	9.55878	0.516517	0.36307495	1.9459807	45	1	0.48	M-v	3Eh
K06S06	F 19.9	0.15	K161D	214.14147	305.6195	228.11545	5.86616	0.2805156	1.06579447	0.9491913	289	3	0.4	M-v	3Eh
K06SD4	S 21.4	0.15	K161D	168.27875	256.07715	9.05482	19.53752	0.4419518	0.77737704	1.1714261	171	2	0.47	M-v	3Eh
K06T00	B 20.1	0.15	K161D	277.84002	180.93278	169.33586	27.57187	0.3246674	0.50497459	1.5617914	38	4	0.41	M-v	3Eh
K06T07	S 21.2	0.15	K161D	287.25217	299.89854	225.27247	5.47116	0.580259	1.06982306	0.9468069	135	3	0.5	M-v	3Eh
K06T07	U 21.9	0.15	K161D	185.37458	68.62989	91.86994	2.91247	0.4701759	1.25579044	0.8508597	53	3	0.5	M-v	3Eh
K06T08	A 20.9	0.15	K161D	255.20396	217.97059	208.03045	21.84578	0.7012343	0.18368795	3.064895	41	1	0.42	M-v	3Eh
K06U00	O 21.0	0.15	K161D	327.16912	77.79564	26.0006	2.29262	0.6652122	0.20705638	2.8297212	50	1	0.51	M-v	3Eh
K06U17	F 21.7	0.15	K161D	150.62806	235.69582	47.72106	3.72095	0.8097745	0.25442655	2.4665756	51	1	0.8	M-v	3Eh
K06U17	Q 21.9	0.15	K161D	134.41684	10.30367	82.11301	1.74374	0.3809311	0.47644485	1.6235324	644	2	0.51	M-v	3Eh
K06UL7	L 20.8	0.15	K161D	157.27298	310.05962	45.24735	9.92002	0.3487794	0.57599829	1.4306122	204	4	0.39	M-v	3Eh
K06V02	W 21.2	0.15	K161D	154.3818	299.64015	229.84229	10.04754	0.294522	0.71737273	1.23587	92	4	0.45	M-v	3Eh
K06V13	D 18.9	0.15	K161D	105.72048	162.83762	314.03336	11.71561	0.4840543	0.36259419	1.9477004	425	5	0.43	M-v	3Eh
K06V13	G 21.5	0.15	K161D	348.39409	115.21156	96.61888	5.86036	0.3036712	1.3331163	0.817631	45	2	0.58	M-v	3Eh
K06V13	T 20.8	0.15	K161D	87.11805	40.7383	324.40094	2.21361	0.6299667	0.23836365	2.576179	156	1	0.45	M-v	3Eh
K06W01	T 20.0	0.15	K161D	126.45988	170.61377	244.88277	13.68916	0.601234	0.25384481	2.4703426	85	2	0.46	M-v	3Eh
K06W03	J 20.0	0.15	K161D	340.23904	178.42859	232.60983	15.35937	0.4240003	0.42513547	1.7516654	153	3	0.49	M-v	3Eh
K06X02	D 21.0	0.15	K161D	85.05595	109.34407	65.69379	3.56741	0.4253146	0.69060571	1.2676011	310	4	0.41	M-v	3Eh
K07A00	G 20.1	0.15	K161D	76.00022	5.63966	283.2675	11.93741	0.3745294	1.61221276	0.7203128	162	6	0.36	M-v	3Eh
K07A02	C 21.8	0.15	K161D	154.99939	90.7313	294.77338	9.49824	0.7419707	0.26231058	2.4169009	92	1	0.47	M-v	3Eh
K07A02	V 21.2	0.15	K161D	30.78849	293.292	285.92809	12.28353	0.4732898	0.57237567	1.4366422	44	1	0.59	M-v	3Eh
K07A12	B 18.9	0.15	K161D	219.83025	282.63375	65.75897	7.78269	0.7198072	0.28279846	2.2987127	42	1	0.72	M-v	3Eh
K07B07	D 21.1	0.15	K161D	183.704	219.85688	343.62086	4.84859	0.4980407	0.50473032	1.5622953	181	1	0.43	M-v	3Eh
K07B29	J 18.7	0.15	K161D	295.25706	119.3781	242.17506	11.07218	0.8263145	0.30555467	2.1831158	62	2	0.42	M-v	3Eh
K07C19	A 17.6	0.15	K161D	306.54318	102.38972	170.15434	9.58914	0.8210462	0.20920637	2.8103006	407	4	0.43	M-v	3Eh
K07C26	S 21.1	0.15	K161D	176.31498	24.08488	143.71799	21.95284	0.5681929	0.27691012	2.3311855	141	1	0.49	M-v	3Eh
K07D40	Y 21.1	0.15	K161D	295.1818	114.95641	160.25496	5.88915	0.5924271	0.43756386	1.7183373	91	2	0.45	M-v	3Eh
K07D41	L 20.7	0.15	K161D	292.75498	140.11981	150.80735	4.66567	0.4761629	0.56049276	1.4568764	112	5	0.37	M-v	3Eh
K07D41	M 21.9	0.15	K161D	275.62694	274.40742	1.77908	2.26494	0.5276094	0.76695492	1.1820146	91	3	0.49	M-v	3Eh
K07D84	S 20.8	0.15	K161D	155.62238	172.7616	30.63372	8.91324	0.4467173	0.38653597	1.8664203	593	2	0.43	M-v	3Eh
K07DA3	T 19.2	0.15	K161D	216.77081	134.12531	137.03548	5.45444	0.5753937	0.30087796	2.2056798	766	2	0.59	M-v	3Eh
K07E00	F 21.4	0.15	K161D	63.37248	226.00057	158.38487	21.73621	0.4100645	1.32656284	0.8203216	106	3	0.43	M-v	3Eh
K07EC5	D 21.0	0.15	K161D	131.42651	290.26868	173.47506	3.76806	0.5847271	0.36969715	1.9226725	190	3	0.41	M-v	3Eh
K07F00	E 19.2	0.15	K161D	217.62648	135.16663	122.67044	6.99623	0.4570164	0.4101812	1.7939853	76	3	0.49	M-v	3Eh
K07F01	F 21.8	0.15	K161D	213.82201	234.56945	21.63819	8.2517	0.4842697	0.52387604	1.5239955	27	1	0.46	M-v	3Eh
